ClaimID,ClaimDate,RegionName,ProductName,ClaimType,ClaimAmount
CLM151,2025-09-13,Budapest,Lakás,Lopás,276699
CLM152,2025-08-15,Budapest,Utas,Baleset,1470500
CLM153,2025-01-19,Észak,Lakás,Elemi kár,1291719
CLM154,2025-12-08,Nyugat,Casco,Baleset,1670009
CLM155,2024-11-04,Dél,Casco,Baleset,1691305
CLM156,2024-02-12,Kelet,Vállalati,Lopás,1437310
CLM157,2025-01-14,Budapest,Vállalati,Baleset,765613
CLM158,2024-01-13,Észak,Élet,Elemi kár,959164
CLM159,2025-01-05,Észak,Lakás,Lopás,419385
CLM160,2025-06-18,Kelet,Vállalati,Baleset,1674540
CLM161,2025-05-10,Észak,Élet,Baleset,1292509
CLM162,2024-10-01,Kelet,Lakás,Elemi kár,634954
CLM163,2025-04-06,Nyugat,Élet,Baleset,1329958
CLM164,2025-11-15,Észak,Utas,Elemi kár,1086635
CLM165,2024-11-28,Nyugat,Élet,Elemi kár,794121
CLM166,2024-09-21,Kelet,Utas,Baleset,1520488
CLM167,2024-10-09,Dél,Casco,Baleset,450674
CLM168,2024-03-28,Nyugat,Élet,Lopás,1214288
CLM169,2024-09-03,Észak,Élet,Lopás,1712900
CLM170,2024-01-18,Budapest,Utas,Elemi kár,898090
CLM171,2025-12-09,Nyugat,Utas,Baleset,1269610
CLM172,2025-01-12,Észak,Vállalati,Baleset,770911
CLM173,2025-03-11,Dél,Utas,Lopás,1523993
CLM174,2025-04-09,Kelet,Utas,Lopás,533473
CLM175,2024-05-03,Nyugat,Utas,Elemi kár,1607934
CLM176,2025-07-02,Nyugat,Lakás,Elemi kár,1598966
CLM177,2025-05-10,Kelet,Vállalati,Baleset,1301560
CLM178,2024-10-16,Budapest,Lakás,Lopás,527066
CLM179,2025-01-04,Nyugat,Utas,Elemi kár,1534822
CLM180,2025-06-30,Nyugat,Utas,Elemi kár,164349
CLM181,2025-07-20,Kelet,Lakás,Baleset,1871295
CLM182,2025-05-17,Budapest,Casco,Baleset,646302
CLM183,2025-04-25,Észak,Élet,Lopás,436638
CLM184,2024-02-22,Kelet,Élet,Elemi kár,1774101
CLM185,2024-03-07,Észak,Élet,Elemi kár,1260101
CLM186,2025-10-06,Budapest,Lakás,Elemi kár,1751088
CLM187,2025-07-30,Kelet,Casco,Elemi kár,298410
CLM188,2025-07-25,Észak,Vállalati,Baleset,1708303
CLM189,2025-09-25,Nyugat,Vállalati,Lopás,994797
CLM190,2025-03-29,Kelet,Vállalati,Lopás,690428
CLM191,2025-08-05,Dél,Casco,Baleset,1602079
CLM192,2024-04-11,Nyugat,Lakás,Lopás,1435018
CLM193,2024-03-24,Nyugat,Lakás,Elemi kár,1207611
CLM194,2024-03-17,Nyugat,Casco,Lopás,994774
CLM195,2025-12-06,Dél,Élet,Lopás,118450
CLM196,2024-08-25,Kelet,Utas,Baleset,1852725
CLM197,2025-04-09,Budapest,Lakás,Lopás,1702195
CLM198,2025-10-02,Dél,Lakás,Lopás,290703
CLM199,2025-07-11,Nyugat,Lakás,Lopás,1783571
CLM200,2024-05-25,Budapest,Casco,Elemi kár,1712262
